Date,Open,High,Low,Last
12.04.2016,18.85,18.9,18.7,18.9
11.04.2016,18.8,18.9,18.7,18.9
08.04.2016,18.4,18.54,18.4,18.5
07.04.2016,18.85,18.85,18.36,18.39
06.04.2016,18.55,18.65,18.5,18.63
05.04.2016,18.65,18.7,18.5,18.58
04.04.2016,18.9,18.9,18.9,18.9
01.04.2016,19.1,19.15,18.7,18.87
31.03.2016,18.4,19.05,18.4,18.9
30.03.2016,18.4,18.65,18.35,18.6
29.03.2016,17.95,18.25,17.95,18.15
23.03.2016,17.75,18.05,17.75,17.9
22.03.2016,17.75,17.9,17.55,17.86
21.03.2016,17.65,18,17.6,17.88
18.03.2016,17.7,18.1,17.65,18.05
17.03.2016,17.75,17.78,17.55,17.73
16.03.2016,17.73,17.8,17.5,17.55
15.03.2016,17.95,17.99,17.68,17.68
14.03.2016,18.15,18.2,17.95,18.01
11.03.2016,18.4,18.45,18.05,18.35
10.03.2016,18.25,18.47,18.1,18.21
09.03.2016,18.25,18.35,18,18.32
08.03.2016,18.4,18.55,18.2,18.29
07.03.2016,17.8,18.2,17.8,18.18
04.03.2016,17.45,17.7,17.45,17.6
03.03.2016,17.5,17.65,17.36,17.4
02.03.2016,17.5,17.6,17.4,17.6
01.03.2016,17.55,17.7,17.5,17.6
29.02.2016,17.5,17.5,17.31,17.4
26.02.2016,17.75,17.8,17.6,17.62
25.02.2016,17.2,17.5,17.2,17.48
24.02.2016,17.35,17.35,17.1,17.25
23.02.2016,17.65,17.85,17.6,17.65
22.02.2016,17.55,17.8,17.5,17.8
19.02.2016,17.55,17.6,17.25,17.35
18.02.2016,17.15,17.45,17.15,17.45
17.02.2016,16.6,16.9,16.6,16.8
16.02.2016,16.53,16.53,16.2,16.47
15.02.2016,16.4,16.45,16.35,16.4
12.02.2016,16.5,16.65,16.5,16.6
11.02.2016,16.6,16.6,16.2,16.3
10.02.2016,16.65,16.7,16.5,16.5
09.02.2016,17.3,17.3,16.85,16.89
08.02.2016,17.36,17.4,17.2,17.25
05.02.2016,17.69,17.69,17.45,17.55
04.02.2016,17.75,17.8,17.65,17.8
