Date,Open,High,Low,Close
12.04.2016,22.7,22.8,22.6,22.7
11.04.2016,22.4,22.67,22.3,22.65
08.04.2016,22.2,22.45,22.2,22.3
07.04.2016,22.5,22.5,22.1,22.21
06.04.2016,22.4,22.48,22.35,22.41
05.04.2016,22.3,22.3,22.11,22.18
04.04.2016,22.3,22.49,22.2,22.4
01.04.2016,22.45,22.7,22.4,22.51
31.03.2016,22.15,22.49,22,22.4
30.03.2016,21.95,22.25,21.95,22.21
29.03.2016,21.95,22.05,21.9,21.98
24.03.2016,21.75,22.1,21.75,21.94
23.03.2016,22,22.05,21.85,21.89
22.03.2016,22.25,22.25,21.91,22.13
21.03.2016,22.05,22.38,21.91,22.21
18.03.2016,22.1,22.45,21.95,22.3
17.03.2016,21.9,22.12,21.8,21.95
16.03.2016,21.65,21.94,21.65,21.91
15.03.2016,21.6,21.65,21.5,21.53
14.03.2016,22.11,22.11,21.65,21.85
11.03.2016,22.05,22.3,22.05,22.25
10.03.2016,22.3,22.3,21.9,22.05
09.03.2016,22.25,22.5,22.1,22.38
08.03.2016,22.5,22.55,22.15,22.3
07.03.2016,21.75,22.45,21.75,22.25
04.03.2016,21.75,21.75,21.5,21.63
03.03.2016,21.5,21.7,21.45,21.53
02.03.2016,21.55,21.6,21.4,21.52
01.03.2016,21.6,21.65,21.45,21.5
29.02.2016,21.5,21.54,21.3,21.45
26.02.2016,21.45,21.75,21.45,21.66
25.02.2016,21.35,21.5,21.3,21.48
24.02.2016,21.45,21.45,21.18,21.32
23.02.2016,21.7,21.9,21.47,21.65
22.02.2016,21.45,21.87,21.45,21.8
19.02.2016,21.45,21.65,21.25,21.3
18.02.2016,21.3,21.54,21.24,21.39
17.02.2016,20.71,21.2,20.65,20.92
16.02.2016,21.3,21.39,20.75,20.85
15.02.2016,21.3,21.4,21.1,21.24
12.02.2016,21,21.4,20.9,21.21
11.02.2016,21.25,21.25,20.65,20.9
10.02.2016,21.2,21.5,20.91,21.15
09.02.2016,21.8,22.05,21.3,21.6
08.02.2016,22.4,22.4,21.8,21.94
05.02.2016,22.51,22.51,22.35,22.36
04.02.2016,23.25,23.25,22.55,22.85
03.02.2016,22.9,23.1,22.8,23.02
02.02.2016,22.7,23,22.65,22.66
01.02.2016,23.25,23.25,22.85,22.9
29.01.2016,23.75,23.75,23.39,23.59
28.01.2016,23.7,23.9,23.6,23.86
27.01.2016,23.5,23.7,23.28,23.6
26.01.2016,22.71,23.55,22.7,23.17
25.01.2016,23.65,23.65,22.9,23.13
22.01.2016,23.4,23.9,23.3,23.8
21.01.2016,23.21,23.25,22.65,22.75
20.01.2016,23.45,23.56,23.21,23.44
19.01.2016,23.8,24.1,23.72,23.76
18.01.2016,23.32,23.8,23.2,23.59
15.01.2016,24.18,24.18,23.6,23.8
14.01.2016,24.4,24.4,24.25,24.26
13.01.2016,24.6,24.67,24.45,24.6
12.01.2016,24.55,24.75,24.4,24.65
11.01.2016,25.22,25.22,24.7,24.92
08.01.2016,25.5,25.6,25.27,25.29
07.01.2016,25.4,25.65,25.4,25.54
06.01.2016,25.95,26.05,25.65,25.8
05.01.2016,26.25,26.25,25.7,25.8
04.01.2016,26.3,26.35,26.16,26.32
30.12.2015,26.63,26.64,26.57,26.61
29.12.2015,26.65,26.7,26.57,26.7
28.12.2015,26.59,26.6,26.54,26.54
23.12.2015,26.45,26.47,26.31,26.41
22.12.2015,26.4,26.5,26.4,26.47
21.12.2015,26.34,26.42,26.2,26.4
18.12.2015,26.5,26.5,26.35,26.42
17.12.2015,26.45,26.59,26.4,26.54
16.12.2015,26.65,26.65,26.49,26.58
15.12.2015,26.45,26.7,26.32,26.65
14.12.2015,26.51,26.51,26.22,26.43
11.12.2015,26.9,26.9,26.65,26.72
10.12.2015,26.85,26.95,26.85,26.99
09.12.2015,27.05,27.05,26.8,27.01
08.12.2015,27.1,27.1,26.94,26.95
07.12.2015,27.3,27.3,27.22,27.23
04.12.2015,27.45,27.5,27.4,27.38
03.12.2015,27.4,27.45,27.35,27.36
02.12.2015,27.7,27.7,27.4,27.4
01.12.2015,27.8,27.8,27.7,27.78
30.11.2015,27.6,27.85,27.6,27.76
27.11.2015,27.7,27.75,27.68,27.67
26.11.2015,27.75,27.76,27.65,27.75
25.11.2015,27.75,27.75,27.6,27.65
24.11.2015,27.7,27.75,27.63,27.71
23.11.2015,27.6,27.65,27.5,27.57
20.11.2015,27.7,27.85,27.58,27.58
19.11.2015,27.5,27.7,27.5,27.67
18.11.2015,27.35,27.5,27.13,27.43
17.11.2015,26.8,27.4,26.75,27.18
16.11.2015,27.15,27.3,26.9,26.99
13.11.2015,27.1,27.15,26.95,26.99
12.11.2015,27.37,27.37,27.05,27.15
11.11.2015,27.9,27.95,27.4,27.55
10.11.2015,27.75,28,27.75,27.9
09.11.2015,28.1,28.1,27.8,27.96
06.11.2015,28.38,28.39,28.25,28.35
05.11.2015,28.5,28.5,28.35,28.4
04.11.2015,28.6,28.75,28.4,28.53
03.11.2015,28.35,28.6,28.35,28.55
02.11.2015,28.35,28.5,28.35,28.46
30.10.2015,28.7,28.7,28.5,28.66
29.10.2015,28.35,28.75,28.35,28.63
28.10.2015,28.37,28.37,28.2,28.35
27.10.2015,28.59,28.59,28.25,28.35
26.10.2015,28.1,28.39,28.1,28.28
23.10.2015,28,28.25,28,28.11
22.10.2015,27.8,27.92,27.8,27.93
21.10.2015,27.9,27.95,27.77,27.81
20.10.2015,28.04,28.05,27.95,27.95
19.10.2015,28.25,28.25,28.1,28.12
16.10.2015,28.05,28.15,28.05,28.14
15.10.2015,28.1,28.2,28.1,28.21
14.10.2015,28,28.1,28,28.09
13.10.2015,28.25,28.25,28.09,28.09
12.10.2015,28.45,28.5,28.28,28.33
09.10.2015,28.5,28.57,28.45,28.55
08.10.2015,28.4,28.45,28.2,28.31
07.10.2015,28.55,28.55,28.38,28.48
06.10.2015,28.25,28.47,28.25,28.38
05.10.2015,28.2,28.25,28.2,28.25
02.10.2015,28.25,28.25,27.95,28.03
01.10.2015,28.4,28.45,28.27,28.38
30.09.2015,28.3,28.39,28.3,28.38
29.09.2015,28.2,28.35,28.2,28.26
28.09.2015,28.51,28.51,28.25,28.28
25.09.2015,28.65,28.68,28.62,28.68
24.09.2015,28.8,28.8,28.72,28.75
23.09.2015,28.9,29,28.9,28.96
22.09.2015,28.9,28.9,28.79,28.79
21.09.2015,28.9,28.9,28.8,28.84
18.09.2015,29.1,29.13,28.95,28.95
17.09.2015,29.35,29.35,29.15,29.25
16.09.2015,29.25,29.3,29.15,29.2
15.09.2015,29.3,29.3,29.14,29.21
14.09.2015,29.5,29.57,29.48,29.53
11.09.2015,29.58,29.65,29.57,29.65
10.09.2015,29.55,29.6,29.46,29.47
09.09.2015,29.6,29.6,29.5,29.58
08.09.2015,29.25,29.5,29.25,29.42
07.09.2015,29.5,29.5,29.25,29.35
04.09.2015,29.8,29.8,29.58,29.6
03.09.2015,29.6,29.95,29.6,29.9
02.09.2015,29.45,29.55,29.45,29.54
01.09.2015,29.7,29.7,29.5,29.48
31.08.2015,29.7,29.7,29.65,29.68
28.08.2015,29.8,29.8,29.64,29.66
27.08.2015,29.3,29.6,29.3,29.55
26.08.2015,29.4,29.5,29.18,29.25
25.08.2015,29.2,29.35,29.2,29.29
24.08.2015,29.6,29.6,29.1,29.14
21.08.2015,30,30.02,29.81,29.84
20.08.2015,30.3,30.3,30.08,30.12
19.08.2015,30.35,30.35,30.25,30.26
18.08.2015,30.35,30.36,30.26,30.27
17.08.2015,30.55,30.55,30.4,30.42
14.08.2015,30.45,30.55,30.45,30.55
13.08.2015,30.5,30.5,30.4,30.4
12.08.2015,30.35,30.4,30.3,30.38
11.08.2015,30.5,30.55,30.37,30.37
10.08.2015,30.35,30.45,30.35,30.42
07.08.2015,30.5,30.55,30.32,30.4
06.08.2015,30.48,30.63,30.48,30.56
05.08.2015,30.55,30.6,30.45,30.6
04.08.2015,30.6,30.7,30.55,30.55
