Dato,SystemPris,hb,prod,kons,utv,enoyr2013,enoyr2014,enoyr2015,enoyr2016,enoyr2017,enoyr2018,mc2013,mc2014,mc2015,mc2016,mc2017,mc2018,f1by2013,f1by2014,f1by2015,f1by2016,f1by2017,f1by2018,f1oy2013,f1oy2014,f1oy2015,f1oy2016,f1oy2017,f1oy2018
02.01.2012,30.81,19.5,1252920,1224820,28100,40.5,41.65,,,,,43.12,44.64,,,,,52.33,52.89,,54.87,56.07,,45.51,45.93,,48.37,49.28,
03.01.2012,30.2,19.3,1277160,1259620,17540,40.55,41.7,,,,,41.93,43.43,,,,,52.19,52.72,,54.42,55.62,,45.53,46.09,,47.67,48.58,
04.01.2012,32.21,20.1,1294600,1267750,26850,40.5,41.5,,,,,42.17,43.69,,,,,52.31,52.72,,54.52,55.72,,45.58,45.98,,47.8,48.71,
05.01.2012,32.5,20.9,1312650,1288830,23820,40.8,41.71,,,,,42.99,44.22,,,,,52.48,52.78,,54.67,55.87,,45.7,46.05,,48.06,48.97,
06.01.2012,32.1,21,1301190,1272880,28310,40.35,41.35,,,,,43.04,44.27,,,,,52.18,52.59,,54.52,55.72,,45.42,45.92,,47.83,48.73,
09.01.2012,40.76,20.8,1405440,1384000,21440,40.9,41.6,,,,,43.08,44.3,,,,,52.4,52.59,,54.67,55.87,,45.58,45.93,,47.95,48.86,
10.01.2012,35.93,20.9,1390770,1356600,34170,40.7,41.55,,,,,43.07,44.59,,,,,52.32,52.58,,54.62,55.82,,45.76,45.92,,47.98,48.89,
11.01.2012,33.94,20.4,1356490,1296470,60020,40.6,41.4,,,,,42.89,44.41,,,,,51.94,52.28,,54.42,55.62,,45.26,45.65,,47.81,48.72,
12.01.2012,32.37,20.1,1352950,1295510,57440,40.55,41.4,,,,,42.7,43.93,,,,,51.9,52.05,,54.12,55.32,,45.22,45.38,,47.34,48.25,
13.01.2012,33.03,19.7,1348590,1299660,48930,40.3,40.9,,,,,42.31,44.11,,,,,51.46,51.67,,53.82,55.02,,44.73,44.92,,47.04,47.95,
16.01.2012,45.74,15.5,1399110,1335590,63520,39.7,40.2,,,,,41.58,43.08,,,,,50.36,50.55,,53.22,54.42,,43.83,43.82,,46.66,47.57,
17.01.2012,38.05,17.2,1399980,1332170,67810,39.35,40.1,,,,,41.64,42.86,,,,,50.23,50.46,,53.17,54.37,,43.59,43.79,,46.56,47.47,
18.01.2012,36.44,16.3,1384570,1326790,57780,39.5,40.3,,,,,41.45,42.67,,,,,50.6,50.82,,53.37,54.57,,44.12,44.15,,46.79,47.69,
19.01.2012,39.19,17,1388940,1327740,61200,39.85,40.5,,,,,41.9,42.84,,,,,50.81,51.08,,53.82,55.02,,44.32,44.46,,47.35,48.25,
20.01.2012,33.83,15.5,1385330,1347270,38060,40.1,40.65,,,,,41.92,42.86,,,,,50.98,51.08,,53.82,55.02,,44.6,44.42,,47.24,48.14,
23.01.2012,44.03,15.3,1386840,1175770,211070,39.5,40.1,,,,,41.3,42.53,,,,,50.71,50.94,,53.62,54.82,,44.24,44.31,,46.93,47.83,
24.01.2012,43.31,14.4,1452490,1350550,101940,39.95,40.5,,,,,42.22,43.45,,,,,50.95,51.13,,53.72,54.92,,44.76,44.67,,47.25,48.15,
25.01.2012,39.05,11.1,1465610,1370620,94990,40.4,40.85,,,,,42.38,43.88,,,,,51.28,51.47,,54.12,55.32,,44.81,45.13,,47.76,48.67,
26.01.2012,42.81,11.6,1442690,1344910,97780,40.8,41.3,,,,,42.54,44.32,,,,,51.81,51.91,,54.96,55.82,,45.35,45.44,,48.98,49.36,
27.01.2012,38.17,11.2,1437560,1326600,110960,41.85,42.25,,,,,43.2,44.58,,,,,52.54,52.68,,55.02,56.22,,45.95,45.67,,49.07,49.98,
30.01.2012,48.25,7.8,1469170,1389540,79630,42.4,42.85,,,,,43.05,44.56,,,,,52.73,52.97,,55.47,56.67,,46.22,46.16,,49.25,50.15,
31.01.2012,70.69,7.3,1499220,1422810,76410,41.6,42.1,,,,,43.15,44.66,,,,,52.05,52.35,,55.12,56.32,,45.4,45.33,,48.81,49.72,
01.02.2012,85.96,8.2,1495730,1439910,55820,41.45,42.05,,,,,43.06,44.57,,,,,52.25,52.63,,55.22,56.42,,45.72,45.79,,48.97,49.88,
02.02.2012,84.29,7.6,1516700,1471000,45700,42.1,42.6,,,,,43.62,44.86,,,,,53.09,53.28,,55.67,56.87,,46.34,46.33,,49.56,50.46,
03.02.2012,51.44,8.2,1543630,1473830,69800,42.3,42.73,,,,,43.43,44.68,,,,,53.15,53.35,,55.96,57.12,,46.38,46.44,,49.79,50.63,
06.02.2012,71.47,6.6,1532730,1448640,84090,41.6,42.15,,,,,43.64,44.9,,,,,53.06,53.25,,55.62,56.82,,46.26,46.25,,49.23,50.14,
07.02.2012,96.15,8.8,1515690,1261690,254000,42.32,42.68,,,,,43.35,44.59,,,,,53.25,53.43,,55.62,56.82,,46.63,46.37,,49.4,50.3,
08.02.2012,64.79,7.3,1485190,1217410,267780,41.4,42,,,,,42.49,44.27,,,,,52.5,52.63,,55.07,56.27,,45.81,45.52,,48.63,49.53,
